"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","5,186","62.40%","530","37.67%","5,716","58.82%"
"White","3,067","36.90%","864","61.41%","3,931","40.45%"
"Hispanic","29",".35%","10",".71%","39",".40%"
"Native American","11",".13%","2",".14%","13",".13%"
"Asian","15",".18%","0",".00%","15",".15%"
"Data Unavailable","3",".04%","1",".07%","4",".04%"
"TOTAL","8,311","100.00%","1,407","100.00%","9,718","100.00%"
