"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,245","59.63%","148","37.66%","1,393","56.15%"
"White","826","39.56%","238","60.56%","1,064","42.89%"
"Hispanic","9","0.43%","5","1.27%","14","0.56%"
"Native American","4","0.19%","0","0.00%","4","0.16%"
"Asian","2","0.10%","1","0.25%","3","0.12%"
"Data Unavailable","2","0.10%","1","0.25%","3","0.12%"
"TOTAL","2,088","100.00%","393","100.00%","2,481","100.00%"
