"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,073","68.78%","122","55.20%","1,195","67.10%"
"White","481","30.83%","98","44.34%","579","32.51%"
"Hispanic","3","0.19%","1","0.45%","4","0.22%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","2","0.13%","0","0.00%","21","0.11%"
"TOTAL","1,560","100.00%","221","100.00%","1,781","100.00%"
