"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","2,440","64.91%","344","44.22%","2,784","61.36%"
"White","1,297","34.50%","427","54.88%","1,724","38.00%"
"Hispanic","12","0.32%","2","0.26%","14","0.31%"
"Native American","5","0.13%","4","0.51%","9","0.20%"
"Asian","2","0.05%","1","0.13%","3","0.07%"
"Data Unavailable","3","0.08%","0","0.00%","3","0.07%"
"TOTAL","3,759","100.00%","778","100.00%","4,537","100.00%"
