"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,193","59.77%","147","36.66%","1,340","55.90%"
"White","785","39.33%","246","61.35%","1,031","43.01%"
"Hispanic","8","0.40%","6","1.50%","14","0.58%"
"Native American","5","0.25%","0","0.00%","5","0.21%"
"Asian","3","0.15%","2","0.50%","5","0.21%"
"Data Unavailable","2","0.10%","0","0.00%","2","0.08%"
"TOTAL","1,996","100.00%","401","100.00%","2,397","100.00%"
