"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,614","64.52%","461","39.84%","4,075","60.30%"
"White","1,952","34.85%","685","59.20%","2,637","39.02%"
"Hispanic","20",".36%","7",".61%","27",".40%"
"Native American","5",".09%","2",".17%","7",".10%"
"Asian","6",".11%","1",".09%","7",".10%"
"Data Unavailable","4",".07%","1",".09%","5",".07%"
"TOTAL","5,601","100.00%","1,157","100.00%","6,758","100.00%"
