"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,261","60.25%","150","38.86%","1,411","56.92%"
"White","817","39.03%","230","59.59%","1,047","42.23%"
"Hispanic","7","0.33%","4","1.04%","11","0.44%"
"Native American","4","0.19%","0","0.00%","4","0.16%"
"Asian","2","0.10%","1","0.26%","3","0.12%"
"Data Unavailable","2","0.10%","1","0.26%","3","0.12%"
"TOTAL","2,093","100.00%","386","100.00%","2,479","100.00%"
