"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,125","67.16%","135","52.12%","1,260","65.15%"
"White","533","31.82%","120","46.33%","653","33.76%"
"Hispanic","11","0.66%","3","1.16%","14","0.72%"
"Native American","2","0.12%","0","0.00%","22","0.10%"
"Asian","1","0.06%","1","0.39%","2","0.10%"
"Data Unavailable","3","0.18%","0","0.00%","3","0.16%"
"TOTAL","1,675","99.82%","259","100.00%","1,934","100.00%"
