"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,155","71.92%","123","55.41%","1,278","69.91%"
"White","441","27.46%","98","44.14%","539","29.49%"
"Hispanic","6","0.37%","1","0.45%","7","0.38%"
"Native American","2","0.12%","0","0.00%","2","0.11%"
"Asian","2","0.12%","0","0.00%","22","0.11%"
"TOTAL","1,606","100.00%","222","100.00%","1,828","100.00%"
