"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,369","62.44%","416","35.28%","4,785","58.52%"
"White","2,575","36.80%","750","63.61%","3,325","40.67%"
"Hispanic","27",".39%","9",".76%","36",".44%"
"Native American","8",".11%","2",".17%","10",".12%"
"Asian","15",".21%","1",".08%","16",".20%"
"Data Unavailable","3",".04%","1",".08%","4",".05%"
"TOTAL","6,997","100.00%","1,179","100.00%","8,176","100.00%"
