"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,895","62.12%","508","37.94%","4,403","57.87%"
"White","2,328","37.13%","817","61.02%","3,145","41.33%"
"Hispanic","22",".35%","11",".82%","33",".43%"
"Native American","5",".08%","1",".07%","6",".08%"
"Asian","15",".24%","1",".07%","16",".21%"
"Data Unavailable","5",".08%","1",".07%","6",".08%"
"TOTAL","6,270","100.00%","1,339","100.00%","7,609","100.00%"
