"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,652","65.03%","497","43.56%","4,149","61.40%"
"White","1,930","34.37%","633","55.48%","2,563","37.93%"
"Hispanic","20",".36%","7",".61%","27",".40%"
"Native American","3",".05%","3",".26%","6",".09%"
"Asian","9",".16%","1",".09%","10",".15%"
"Data Unavailable","2",".04%","0",".00%","2",".03%"
"TOTAL","5,616","100.00%","1,141","100.00%","6,757","100.00%",""
