"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,531","67.79%","496","45.13%","4,027","63.84%"
"White","1,646","31.60%","598","54.41%","2,244","35.57%"
"Hispanic","22",".42%","2",".18%","24",".38%"
"Native American","2",".04%","2",".18%","4",".06%"
"Asian","6",".12%","0",".00%","6",".10%"
"Data Unavailable","2",".04%","1",".09%","3",".05%"
"TOTAL","5,209","100.00%","1,099","100.00%","6,308","100.00%"
