"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,706","65.56%","530","45.07%","4,236","62.03%"
"White","1,910","33.79%","636","54.08%","2,546","37.28%"
"Hispanic","25",".44%","5",".43%","30",".44%"
"Native American","2",".04%","3",".26%","5",".07%"
"Asian","8",".14%","1",".09%","9",".13%"
"Data Unavailable","2",".04%","1",".09%","3",".04%"
"TOTAL","5,653","100.00%","1,176","100.00%","6,829","100.00%",""
