"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,332","59.57%","180","38.38%","1,512","55.90%"
"White","889","39.76%","284","60.55%","1,173","43.36%"
"Hispanic","6","0.27%","3","0.64%","9","0.33%"
"Native American","7","0.31%","2","0.43%","9","0.33%"
"Asian","2","0.09%","0","0.00%","2","0.07%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,236","100.00%","469","100.00%","2,705","100.00%"
