"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","5,180","62.42%","524","37.59%","5,704","58.85%"
"White","3,061","36.89%","858","61.55%","3,919","40.44%"
"Hispanic","28",".34%","9",".65%","37",".38%"
"Native American","11",".13%","2",".14%","13",".13%"
"Asian","15",".18%","0",".00%","15",".15%"
"Data Unavailable","3",".04%","1",".07%","4",".04%"
"TOTAL","8,298","100.00%","1,394","100.00%","9,692","100.00%"
