"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,708","64.52%","503","41.85%","4,211","60.60%"
"White","1,999","34.78%","690","57.40%","2,689","38.70%"
"Hispanic","21",".37%","6",".50%","27",".39%"
"Native American","6",".10%","2",".17%","8",".12%"
"Asian","11",".19%","1",".08%","12",".17%"
"Data Unavailable","2",".03%","0",".00%","2",".03%"
"TOTAL","5,747","100.00%","1,202","100.00%","6,949","100.00%"
