"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,466","60.23%","186","37.13%","1,652","56.29%"
"White","951","39.07%","310","61.88%","1,261","42.96%"
"Hispanic","8","0.33%","2","0.40%","10","0.34%"
"Native American","7","0.29%","3","0.60%","10","0.34%"
"Asian","2","0.08%","0","0.00%","2","0.07%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,434","100.00%","501","100.00%","2,935","100.00%"
