"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,415","71.54%","1,142","58.87%","15,557","70.43%"
"White","5,620","27.89%","779","40.15%","6,399","28.97%"
"Hispanic","69","0.34%","6","0.31%","75","0.34%"
"Native American","25","0.12%","7","0.36%","32","0.14%"
"Asian","19","0.09%","","0.31%","25","0.11%"
"Data Unavailable","1","0.00%","6 0","0.00%","1","0.00%"
"TOTAL","20,149","100.00%","1,940","100.00%","22,089","100.00%"
