"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,038","","65.88%","","","","695","","","40.17%","","","","13,733","","","","63.81%"
"White
6,474","","32.71%","","","","1,006","","","58.15%","","","","7,480","","","","34.76%"
"Hispanic
190","",".96%","","","","22","","","1.27%","","","","212","","","",".99%"
"Native American
32","",".16%","","","","5","","",".29%","","","","37","","","",".17%"
"Asian
49","",".25%","","","","1","","",".06%","","","","50","","","",".23%"
"Data Unavailable
8","",".04%","","","","1","","",".06%","","","","9","","","",".04%"
"TOTAL
19,791","","100.00%","","","","1,730","","","100.00%","","","","21,521","","","","100.00%"
