"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,060","72.11%","1,103","61.14%","15,163","71.18%"
"White","5,330","27.34%","682","37.80%","6,012","28.22%"
"Hispanic","73","0.37%","8","0.44%","81","0.38%"
"Native American","17","0.09%","6","0.33%","23","0.11%"
"Asian","16","0.08%","","0.28%","21","0.10%"
"Data Unavailable","1","0.01%","5 0","0.00%","1","0.00%"
"TOTAL","19,497","100.00%","1,804","100.00%","21,301","100.00%"
