"FEMALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","7","7","0","0","14",".60%"
"1-2 Years","133","193","1","1","328","13.99%"
"3-5 Years","332","388","3","3","726","30.96%"
"6-10 Years","322","246","6","1","575","24.52%"
"11-20 Years","172","88","1","1","262","11.17%"
"21-30 Years","20","16","1","1","38","1.62%"
"Greater Than 30 Years","11","6","0","0","17",".72%"
"Life","51","38","0","0","89","3.80%"
"Death","0","1","0","0","1",".04%"
"Verification Pending","122","171","1","1","295","12.58%"
"TOTAL","1,170","1,154","13","8","2,345","100.00%"
