"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","1","0","0","3",".07%"
"1","0","0","0","2",".05%"
"0","0","0","0","1",".02%"
"91","58","1","2","1,400","34.41%"
"2","1","0","0","17",".42%"
"0","1","0","0","17",".42%"
"14","10","3","0","310","7.62%"
"0","0","0","0","10",".25%"
"0","8","0","0","113","2.78%"
"0","73","0","0","402","9.88%"
"9","12","1","1","208","5.11%"
"11","4","0","0","214","5.26%"
"8","11","1","0","196","4.82%"
"0","24","0","0","150","3.69%"
"23","82","2","0","755","18.56%"
"0","37","0","0","258","6.34%"
"0","1","0","0","12",".29%"
"159","323","8","3","4,068","100.00%"
