"LOCATION","JUL","AUG","SEP","OCT","NOV","DEC"
"Mississippi State Penitentiary","4,583","4,411","4,325","4,349","4,368","4,356"
"Central Mississippi Correctional Facility","3,082","3,085","3,161","3,158","3,141","3,113"
"South Mississippi Correctional Institu-
tion","2,170","2,179","2,219","2,231","2,198","2,158"
"County Jails","1,696","1,676","1,657","1,646","1,680","1,590"
"Community Work Centers","1,670","1,688","1,628","1,626","1,618","1,697"
"County/Regional Correctional Facilities","2,757","2,884","2,968","3,003","3,016","3,018"
"Private Prisons","4,852","4,862","4,857","4,842","4,814","4,793"
"Restitution Centers","13","11","12","11","10","16"
"Governor's Mansion","5","5","5","5","5","5"
"E-CODE","24","18","21","31","18","6"
"TOTAL","20,851","20,819","20,850","20,901","20,868","20,751"
"","","","","","",""
"ACTUAL TOTAL CAPACITY","22,104","22,301","22,431","22,461","22,413","22,403"
