"RACE","","",""
"","MALE","FEMALE","TOTAL"
"White","6,605","1,154","7,759"
"Black","15,172","1,170","16,342"
"Hispanic","133","13","146"
"Other","55","6","61"
"Unknown Race","21","2","23"
"TOTAL 
21,986 
2,345 
24,331","","",""
