"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","1","0","0","36","1.88%"
"0","0","0","0","132","6.88%"
"0","0","0","0","2",".10%"
"0","0","0","0","1",".05%"
"0","0","0","0","1",".05%"
"0","2","0","0","31","1.62%"
"0","0","0","0","32","1.67%"
"0","1","0","0","43","2.24%"
"0","0","0","0","96","5.00%"
"1","0","0","0","43","2.24%"
"0","0","0","0","1",".05%"
"0","0","0","0","1",".05%"
"0","0","0","0","14",".73%"
"0","0","0","0","1",".05%"
"0","0","0","0","441","22.98%"
"0","0","0","0","2",".10%"
"0","1","0","0","141","7.35%"
"0","0","0","0","1",".05%"
"0","0","0","0","15",".78%"
"4","11","0","0","575","29.96%"
"1","0","0","0","3",".16%"
"0","1","0","0","235","12.25%"
"0","0","0","0","71","3.70%"
"0","0","0","0","1",".05%"
"6","17","0","0","1,919","100.00%"
