"MALES","","","","",""
"AGE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"14","1","0","0","0","1"
"15","2","2","0","0","4"
"16","10","1","0","0","11"
"17","47","6","0","0","53"
"18 - 19","317","94","3","4","418"
"20 - 29","6,405","2,161","54","21","8,641"
"30 - 39","4,278","1,928","44","16","6,266"
"40 - 49","2,900","1,609","21","7","4,537"
"50 - 59","1,031","592","7","5","1,635"
"60 - 69","147","159","4","2","312"
"70 - 79","29","44","0","0","73"
"80 and Over","2","5","0","0","7"
"Verification Pending","3","4","0","0","7"
"TOTAL","15,172","6,605","133","55","21,965"
