"MALES - PERCENTAGE","",""
"CLASS","MALE","PERCENT"
"A","1",".00%"
"B","7",".03%"
"C","2,089","9.50%"
"D","697","3.17%"
"DR","66",".30%"
"MOA","2,984","13.57%"
"MOB","5,811","26.43%"
"MORA","4,010","18.24%"
"MORB","3,964","18.03%"
"Unclassified","2,357","10.72%"
"TOTAL","21,986","100.00%"
