"COMBINED","",""
"CLASS","MALE AND FEMALE","PERCENT"
"Y","14",".06%"
"0","15",".06%"
"1","17,172","70.58%"
"2","2,803","11.52%"
"3","1,734","7.13%"
"4","452","1.86%"
"5","109",".45%"
"Verification Pending","2,010","8.26%"
"Unknown Class/Race/Sex","22",".09%"
"TOTAL","24,331","100.00%"
