"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","1","40-49","5,174"
"15","4","50-59","1,814"
"16","11","60-69","339"
"17","54","70-79","75"
"18-19","445","80+","7"
"20-29","9,377","Verification Pending","10"
"30-39","7,020","TOTAL","24,331"
