"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,212","15.12%"
"Central Mississippi Correctional Facility","3,750","3,668","17.27%"
"South Mississippi Correctional Institution","3,082","2,643","12.44%"
"Youthful Offender Facility","58","27","0.13%"
"County Jails - Approved","1,781","715","3.37%"
"County Jails - Unapproved","0","370","1.74%"
"Community Work Centers","1,154","619","2.91%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,254","52.98%"
"Alcorn County Correctional Facility","300","300","1.41%"
"Bolivar County Correctional Facility","369","292","1.37%"
"Carroll County Correctional Facility","280","275","1.29%"
"Chickasaw County Correctional Facility","310","307","1.45%"
"George County Correctional Facility","280","339","1.60%"
"Holmes County Correctional Facility","280","280","1.32%"
"Issaquena County Correctional Facility","274","310","1.46%"
"Jefferson County Correctional Facility","280","279","1.31%"
"Kemper County Correctional Facility","355","343","1.61%"
"Leake County Correctional Facility","280","275","1.29%"
"Marion County Correctional Facility","280","280","1.32%"
"Stone County Correctional Facility","326","279","1.31%"
"Washington County Correctional Facility","300","161","0.76%"
"Winston County Correctional Facility","280","265","1.25%"
"Yazoo County Correctional Facility","300","293","1.38%"
"TOTAL REGIONAL FACILITIES","4,494","4,278","20.14%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,266","5.96%"
"Marshall County Correctional Facility","1,000","989","4.66%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","925","4.35%"
"TOTAL PRIVATE PRISONS","5,972","3,180","14.97%"
