"OFFENSES","MALE","FEMALE","TOTAL","%"
"Aggravated Assault","409","28","437","4.10"
"Burglary","1,877","115","1,992","18.71"
"Homicide","58","7","65",".61"
"Manslaughter","119","15","134","1.26"
"Property","2,368","512","2,880","27.04"
"Possession of Drugs","2,168","308","2,476","23.25"
"Robbery","550","21","571","5.36"
"Sale of Drugs","1,234","143","1,377","12.93"
"Sex Offense","402","8","410","3.85"
"Violent","256","51","307","2.88"
"Verification Pending","0","0","0",".00"
"TOTAL","9,441","1,208","10,649","100.00"
