"COUNTY","OFFENDERS","%"
"Alcorn","7","2.82"
"Montgomery","5","2.02"
"Attala","4","1.61"
"Panola","7","2.82"
"Benton","2",".81"
"Pontotoc","15","6.05"
"Bolivar","9","3.63"
"Prentiss","6","2.42"
"Calhoun","7","2.82"
"Quitman","0",".00"
"Carroll","3","1.21"
"Sunflower","4","1.61"
"Chickasaw","6","2.42"
"Tallahatchie","2",".81"
"Choctaw","2",".81"
"Tate","10","4.03"
"Coahoma","7","2.82"
"Tippah","1",".40"
"Desoto","57","22.98"
"Tishomingo","2",".81"
"Grenada","6","2.42"
"Tunica","6","2.42"
"Itawamba","4","1.61"
"Union","14","5.65"
"Lafayette","2",".81"
"Washington","11","4.44"
"Lee","13","5.24"
"Webster","4","1.61"
"Leflore","2",".81"
"Winston","4","1.61"
"Marshall","10","4.03"
"Yalobusha","2",".81"
"Monroe","14","5.65"
"TOTAL","248","30.69"
