"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","54","4.71","Montgomery","5",".44"
"","Attala","13","1.13","Panola","40","3.49"
"","Benton","8",".70","Pontotoc","49","4.28"
"","Bolivar","24","2.09","Prentiss","38","3.32"
"","Calhoun","26","2.27","Quitman","7",".61"
"","Carroll","4",".35","Sunflower","7",".61"
"","Chickasaw","35","3.05","Tallahatchie","11",".96"
"Northern","Choctaw","5",".44","Tate","18","1.57"
"Counties","","","","","",""
"","Coahoma","22","1.92","Tippah","29","2.53"
"","Desoto","211","18.41","Tishomingo","15","1.31"
"","Grenada","33","2.88","Tunica","24","2.09"
"","Itawamba","39","3.40","Union","48","4.19"
"","Lafayette","35","3.05","Washington","32","2.79"
"","Lee","151","13.18","Webster","4",".35"
"","Leflore","22","1.92","Winston","7",".61"
"","Marshall","48","4.19","Yalobusha","17","1.48"
"","Monroe","65","5.67","TOTAL","1,146","29.74"
