"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","37","4.25","Lincoln","48","5.51"
"","Amite","5",".57","Madison","116","13.32"
"","Claiborne","7",".80","Pike","89","10.22"
"","Copiah","22","2.53","Rankin","227","26.06"
"Central","","","","","",""
"","Franklin","3",".34","Sharkey","3",".34"
"Counties","","","","","",""
"","Hinds","202","23.19","Walthall","24","2.76"
"","Holmes","2",".23","Warren","59","6.77"
"","Humphreys","8",".92","Wilkinson","1",".11"
"","Issaquena","0",".00","Yazoo","17","1.95"
"","Jefferson","1",".11","TOTAL","871","22.61"
