"","","","Offenders Age 50 and Over","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","4","1.11","Lawrence","3",".83"
"","Clay","7","1.94","Leake","8","2.22"
"","Covington","1",".28","Lowndes","30","8.33"
"","Forrest","25","6.94","Marion","14","3.89"
"","George","5","1.39","Neshoba","11","3.06"
"","Greene","2",".56","Newton","6","1.67"
"","Hancock","9","2.50","Noxubee","0",".00"
"Southern","","","","","",""
"","Harrison","79","21.94","Oktibbeha","13","3.61"
"Counties","","","","","",""
"","Jackson","33","9.17","Pearl River","17","4.72"
"","Jasper","7","1.94","Perry","1",".28"
"","Jeff Davis","3",".83","Scott","5","1.39"
"","Jones","16","4.44","Simpson","2",".56"
"","Kemper","1",".28","Smith","3",".83"
"","Lamar","12","3.33","Stone","8","2.22"
"","Lauderdale","25","6.94","Wayne","10","2.78"
"","","","","TOTAL","360","44.55"
