"OFFENSE 
                 AVERAGE SENTENCE LENGTH IN YEARS","",""
"Child Molestation","5.78",""
"Child Pornography","7.50",""
"Depicting a Child Engaging in Sexual Conduct 
 
on Computer","5.00",""
"Entice Child for Indecent Purposes","10.00",""
"Exploitation of Child","9.10",""
"Failure to Register as Sex Offender","3.12",""
"Fondling","5.96",""
"Fondling a Child","5.63",""
"Forcible Sexual Intercourse","20.00",""
"Gratification of Lust","5.06",""
"Kidnap Minor","4.00",""
"Peeping Tom","2.33",""
"Procuring Sexual Servitude of a Minor","7.00",""
"Rape","15.67",""
"Sexual Battery","11.47",""
"Statutory Rape","6.96",""
"Unlawful Touching of Child","6.71",""
"Unnatural Intercourse","7.00",""
"Video Voyeurism-Photographing or Film","5.00",""
