COUNTY,OFFENDERS,%
Adams,88,3.23
Alcorn,124,3.91
Amite,26,0.95
Attala,65,2.05
Benton,21,0.66
Bolivar,107,3.37
Calhoun,68,2.14
Carroll,15,0.47
Chickasaw,73,2.3
Choctaw,17,0.54
Claiborne,40,1.47
Clarke,56,1.19
Clay,99,2.1
Coahoma,94,2.96
Copiah,76,2.79
Covington,38,0.81
Desoto,579,18.26
Forrest,385,8.16
Franklin,12,0.44
George,98,2.08
Greene,25,0.53
Grenada,88,2.78
Hancock,131,2.78
Harrison,1051,22.28
Hinds,756,27.72
Holmes,27,0.99
Humphreys,23,0.84
Issaquena,0,0
Itawamba,78,2.46
Jackson,508,10.77
Jasper,36,0.76
Jeff Davis,28,0.59
Jefferson,17,0.62
Jones,210,4.45
Kemper,22,0.47
Lafayette,83,2.62
Lamar,177,3.75
Lauderdale,319,6.76
Lawrence,37,0.78
Leake,57,1.21
Lee,339,10.69
Leflore,74,2.33
Lincoln,130,4.77
Lowndes,340,7.21
Madison,367,13.46
Marion,160,3.39
Marshall,120,3.78
Monroe,139,4.38
Montgomery,24,0.76
Neshoba,98,2.08
Newton,50,1.06
Noxubee,21,0.45
Oktibbeha,178,3.77
Panola,119,3.75
Pearl River,213,4.52
Perry,48,1.02
Pike,255,9.35
Pontotoc,121,3.82
Prentiss,86,2.71
Quitman,19,0.6
Rankin,600,22
Scott,70,1.48
Sharkey,16,0.59
Simpson,51,1.08
Smith,38,0.81
Stone,92,1.95
Sunflower,51,1.61
Tallahatchie,38,1.2
Tate,87,2.74
Tippah,58,1.83
Tishomingo,41,1.29
Tunica,77,2.43
Union,106,3.34
Walthall,64,2.35
Warren,168,6.16
Washington,161,5.08
Wayne,81,1.72
Webster,18,0.57
Wilkinson,15,0.55
Winston,42,1.32
Yalobusha,39,1.23
Yazoo,47,1.72
Verification Pending,34,0.32
TOTAL,"10,649",100
