"RACE","MALE","FEMALE","TOTAL","%"
"White","1,174","329","1,503","39.01"
"Black","2,175","117","2,292","59.49"
"Hispanic","43","4","47","1.22"
"Other","8","1","9",".23"
"Unknown Race","2","0","2",".05"
