"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","304","99","3","3","409"
"Burglary","1,178","688","5","6","1,877"
"Homicide","38","19","1","0","58"
"Manslaughter","97","22","0","0","119"
"Property","1,291","1,054","12","11","2,368"
"Possession of Drugs","1,201","920","39","8","2,168"
"Robbery","457","92","1","0","550"
"Sale of Drugs","974","254","4","2","1,234"
"Sex Offense","189","201","10","2","402"
"Violent","148","101","5","2","256"
"Verification Pending","0","0","0","0","0"
"TOTAL","5,877","3,450","80","34","9,441"
