"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Procuring Sexual Servitude of a Minor","1","0","","1",".24"
"Rape","15","0","","15","3.66"
"Sexual Battery","122","4","","126","30.73"
"Statutory Rape","71","2","","73","17.80"
"Unlawful Touching of Child","35","0","","35","8.54"
"Unnatural Intercourse","1","0","","1",".24"
"Video Voyeurism-Photographing or Film","2","0","","2",".49"
