"","","TOTAL","1,821","47.26"
"","","NUMBER","","%"
"","Northern","1,146","","29.74"
"","Central","871","","22.61"
"TOTAL","","","",""
"","Southern","1,821","","47.26"
"","Verification Pending","15","",".39"
"","TOTAL","3,853","","100.00"
