"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","4","2.04","Lincoln","7","3.57"
"","Amite","3","1.53","Madison","26","13.27"
"","Claiborne","4","2.04","Pike","20","10.20"
"","Copiah","9","4.59","Rankin","49","25.00"
"Central","","","","","",""
"","Franklin","0",".00","Sharkey","2","1.02"
"Counties","","","","","",""
"","Hinds","49","25.00","Walthall","4","2.04"
"","Holmes","3","1.53","Warren","13","6.63"
"","Humphreys","0",".00","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","2","1.02"
"","Jefferson","1",".51","TOTAL","196","24.26"
