"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Aggravated Assault","19","4","0","0","23"
"Burglary","50","23","0","0","73"
"Homicide","6","3","0","0","9"
"Manslaughter","3","5","0","0","8"
"Property","134","120","0","3","257"
"Possession of Drugs","80","73","0","0","153"
"Robbery","10","8","0","0","18"
"Sale of Drugs","71","19","0","1","91"
"Sex Offense","25","50","3","0","78"
"Violent","8","10","1","0","19"
"TOTAL","406","315","4","4","729"
