"","","","Sex Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","5","4.50","Montgomery","2","1.80"
"","Attala","0",".00","Panola","2","1.80"
"","Benton","2","1.80","Pontotoc","6","5.41"
"","Bolivar","1",".90","Prentiss","1",".90"
"","Calhoun","6","5.41","Quitman","1",".90"
"","Carroll","0",".00","Sunflower","3","2.70"
"","Chickasaw","4","3.60","Tallahatchie","1",".90"
"Northern","Choctaw","1",".90","Tate","4","3.60"
"Counties","","","","","",""
"","Coahoma","3","2.70","Tippah","6","5.41"
"","Desoto","24","21.62","Tishomingo","1",".90"
"","Grenada","1",".90","Tunica","2","1.80"
"","Itawamba","1",".90","Union","5","4.50"
"","Lafayette","1",".90","Washington","5","4.50"
"","Lee","4","3.60","Webster","1",".90"
"","Leflore","4","3.60","Winston","2","1.80"
"","Marshall","4","3.60","Yalobusha","3","2.70"
"","Monroe","5","4.50","TOTAL","111","27.07"
