"OFFENSE 
                       AVERAGE AGE AT TIME OF OFFENSE","",""
"Child Molestation","42.05",""
"Child Pornography","43.84",""
"Depicting a Child Engaging in Sexual Conduct on Computer","22.63",""
"Entice Child for Indecent Purposes","52.73",""
"Exploitation of Child","42.19",""
"Failure to Register as Sex Offender","40.98",""
"Fondling","46.13",""
"Fondling a Child","36.51",""
"Forcible Sexual Intercourse","20.99",""
"Gratification of Lust","34.51",""
"Kidnap Minor","29.82",""
"Peeping Tom","33.30",""
"Procuring Sexual Servitude of a Minor","45.54",""
"Rape","28.21",""
"Sexual Battery","35.60",""
"Statutory Rape","27.28",""
"Unlawful Touching of Child","43.24",""
"Unnatural Intercourse","51.46",""
"Video Voyeurism-Photographing or Film","35.66",""
