"OFFENSE","AVERAGE SENTENCE LENGTH IN YEARS"
"Aggravated Assault","7.48"
"Burglary","5.41"
"Homicide","50.00"
"Manslaughter","18.58"
"Property","3.90"
"Possession of Drugs","5.44"
"Robbery","9.52"
"Sale of Drugs","7.71"
"Sex Offense","8.73"
"Violent","7.70"
