"OFFENSE","AVERAGE AGE AT TIME OF OFFENSE"
"Aggravated Assault","31.50"
"Burglary","28.10"
"Homicide","29.77"
"Manslaughter","30.10"
"Property","34.43"
"Possession of Drugs","33.20"
"Robbery","26.67"
"Sale of Drugs","32.31"
"Sex Offense","36.60"
"Violent","32.28"
