"MALES","","","","",""
"AGE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"14","1","0","0","","1"
"15","1","0","0","","1"
"16","15","2","0","","17"
"17","34","6","0","","40"
"18-19","371","104","1","5","481"
"20-29","6,461","2,230","50","42","8,783"
"30-39","4,348","1,882","44","14","6,288"
"40-49","2,883","1,617","21","8","4,529"
"50-59","936","557","10","7","1,510"
"60-69","153","148","2","3","306"
"70-79","31","42","0","0","73"
"80 and Over","4","4","0","0","8"
"Verification Pending","3","6","0","0","9"
"TOTAL","15,241","6,598","128","79","22,046"
