"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"46","107","0","0","3,453","14.18%"
"123","82","0","1","2,432","9.99%"
"137","270","5","4","3,748","15.39%"
"311","111","3","1","4,207","17.28%"
"73","29","0","1","2,716","11.15%"
"4","11","0","0","1,770","7.27%"
"89","32","1","0","1,646","6.76%"
"400","454","1","5","4,372","17.95%"
"0","0","0","1","7","0.03%"
"1,183","1,096","10","13","24,351","100.00%"
