"FEMALES","","","","","",""
"CLASS","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Y","0","0","0","0","0",".00%"
"0","0","1","0","0","1",".04%"
"1","591","477","5","3","1,076","46.74%"
"2","180","177","1","1","359","15.60%"
"3","98","62","0","0","160","6.95%"
"4","39","27","0","0","66","2.87%"
"5","4","7","0","0","11",".48%"
"Verification Pending","271","345","4","6","626","27.19%"
"Unknown Class/Race/Sex","0","0","0","3","3",".13%"
"TOTAL","1,183","1,096","10","13","2,302","100.00%"
