"RACE","","",""
"MALE 
FEMALE 
TOTAL","","",""
"White","6,598","1,096","7,694"
"Black","15,241","1,183","16,424"
"Hispanic","128","10","138"
"Other","64","10","74"
"Unknown Race","15","3","18"
"Unknown Gender","","","3"
"TOTAL 
22,046 
2,302 
24,351","","",""
