"FEMALES - PERCENTAGE","",""
"CLASS","FEMALE","PERCENT"
"A","2",".09%"
"B","0",".00%"
"C","26","1.13%"
"D","9",".39%"
"DR","1",".04%"
"MOA","389","16.90%"
"MOB","495","21.50%"
"MORA","702","30.50%"
"MORB","219","9.51%"
"Unclassified","459","19.94%"
"TOTAL","2,302","100.00%"
