"COMBINED","",""
"AGE","MALE AND FEMALE","PERCENT"
"14","1","0.00%"
"15","1","0.00%"
"16","17","0.07%"
"17","41","0.17%"
"18-19","502","2.06%"
"20-29","9,480","38.93%"
"30-39","7,075","29.05%"
"40-49","5,133","21.08%"
"50-59","1,670","6.86%"
"60-69","331","1.36%"
"70-79","77","0.32%"
"80 and Over","8","0.03%"
"Verification Pending","12","0.05%"
"Unknown Race","2","0.01%"
"Unknown Sex","1","0.00%"
"TOTAL","24,351","100.00%"
