"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","1","0","0","31","1.75%"
"0","0","0","0","159","8.98%"
"0","2","0","0","22","1.24%"
"0","0","0","0","16","0.90%"
"0","0","0","0","18","1.02%"
"0","0","0","0","85","4.80%"
"0","0","0","0","38","2.15%"
"0","0","0","0","1","0.06%"
"0","0","0","0","15","0.85%"
"0","0","0","0","1","0.06%"
"0","0","0","0","449","25.37%"
"0","0","0","0","1","0.06%"
"0","1","0","0","170","9.60%"
"0","0","0","0","1","0.06%"
"0","0","0","0","21","1.19%"
"4","7","0","0","500","28.25%"
"0","0","0","0","196","11.07%"
"0","0","0","0","46","2.60%"
"4","11","0","0","1,770","100.00%"
