"COMBINED","",""
"CLASS","MALE AND FEMALE","PERCENT"
"Y","51",".21%"
"0","57",".23%"
"1","16,973","69.70%"
"2","2,258","9.27%"
"3","1,715","7.04%"
"4","513","2.11%"
"5","127",".52%"
"Verification Pending","2,645","10.86%"
"Unknown Class/Race/Sex","12",".05%"
"TOTAL","24,351","100.00%"
