"MALES","","","",""
"HOMICIDE/MANSLAUGHTER","BLACK","WHITE","HISPANIC  OTHER",""
"Vehicular Manslaughter","0","2","0","0"
"Manslaughter","587","164","8","4"
"Capital Murder","108","44","0","2"
"Vehicular Homicide","7","16","0","0"
"Homicide - Police Officer","1","0","0","0"
"Homicide","915","365","1","2"
"TOTAL","1,618","591","9","8"
