"MALES","","","",""
"ROBBERY","BLACK","WHITE","HISPANIC  OTHER",""
"Armed Carjacking","36","1","0","0"
"Armed Robbery","1,402","187","7","4"
"Carjacking Strong Arm","24","1","0","0"
"Robbery","773","175","1","2"
"TOTAL","2,235","364","8","6"
