Location,Capacity_x,1-Aug-02,2-Aug-02,3-Aug-02,4-Aug-02,5-Aug-02,6-Aug-02,7-Aug-02,8-Aug-02,9-Aug-02,10-Aug-02,Capacity_y,11-Aug-02,12-Aug-02,13-Aug-02,14-Aug-02,15-Aug-02,16-Aug-02,17-Aug-02,18-Aug-02,19-Aug-02,20-Aug-02,Capacity,21-Aug-02,22-Aug-02,23-Aug-02,24-Aug-02,25-Aug-02,26-Aug-02,27-Aug-02,28-Aug-02,29-Aug-02,30-Aug-02,31-Aug-02
Marion County,250,202,202,202,202,202,202,202,202,202,202,250,202,202,202,201,201,201,201,201,202,202,250,202,202,202,202,202,202,201,201,201,200,200
Stone County,250,201,201,201,201,201,200,200,200,203,203,250,202,201,202,202,202,202,202,202,202,202,250,202,202,202,202,202,202,202,202,202,202,202
Winston County,250,202,202,202,202,202,202,203,202,202,202,250,202,200,201,201,201,201,201,201,201,201,250,201,201,201,201,201,199,201,200,200,201,201
PRIVATE PRISONS,"4,750","3,702","3,721","3,720","3,719","3,737","3,756","3,806","3,843","3,882","3,878","4,750","3,878","3,909","3,900","3,930","3,929","3,927","3,927","3,927","3,976","3,972","4,750","3,993","3,969","4,000","4,000","3,998","3,995","3,991","4,005","3,991","4,002","4,002"
Delta,"1,000",831,828,828,828,828,827,827,827,827,825,"1,000",825,824,823,823,823,821,821,821,818,816,"1,000",816,799,798,798,798,798,797,794,793,792,792
East MS,"1,000",500,500,500,500,500,500,553,553,596,595,"1,000",595,595,594,593,592,591,591,591,645,646,"1,000",672,671,708,708,708,707,706,732,731,731,731
Marshall County,"1,000",932,955,955,954,980,"1,001",999,"1,000",999,999,"1,000",999,999,995,991,990,990,990,990,991,990,"1,000",987,983,982,982,980,979,979,976,976,985,985
Walnut Grove,750,541,539,539,539,534,534,533,532,531,531,750,531,531,529,528,527,527,527,527,524,523,750,523,523,520,520,520,520,520,518,507,506,506
Wilkinson County,"1,000",898,899,898,898,895,894,894,931,929,928,"1,000",928,960,959,995,997,998,998,998,998,997,"1,000",995,993,992,992,992,991,989,985,984,988,988
RESITITUTION CENTERS,24,14,14,14,14,15,15,15,15,14,14,24,14,15,14,14,14,14,14,14,14,14,24,14,13,12,12,12,13,13,13,13,13,13
Greenwood,6,5,5,5,5,5,5,5,5,4,4,6,4,5,5,5,5,5,5,5,5,5,6,5,4,3,3,3,4,4,4,4,4,4
Hinds,12,8,7,7,7,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,8
Pascagoula,6,1,2,2,2,2,2,2,2,2,2,6,2,2,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
TOTALS,"21,857","19,275","19,265","19,256","19,250","19,294","19,304","19,343","19,360","19,311","19,301","21,857","19,295","19,327","19,326","19,302","19,333","19,293","19,292","19,286","19,301","19,319","21,857","19,319","19,317","19,257","19,254","19,251","19,280","19,303","19,296","19,302","19,305","19,304"
