Location,Capacity_x,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,Capacity_y,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,Capacity,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PRIVATE PRISONS,"3,900","3,211","3,211","3,210","3,209","3,204","3,209","3,208","3,216","3,214","3,211","3,900","3,208","3,203","3,192","3,192","3,190","3,190","3,190","3,184","3,199","3,197","3,900","3,197","3,213","3,213","3,213","3,230","3,313","3,357","3,397","3,468","3,467"
Delta,"1,000",754,754,754,753,750,748,748,748,748,747,"1,000",745,744,742,742,742,742,742,742,742,742,"1,000",742,760,760,760,770,794,819,818,843,843
East MS,500,498,498,498,496,496,496,496,500,500,500,500,500,498,498,498,496,496,496,490,497,496,500,499,499,499,499,499,499,499,499,499,499
Marshall County,"1,000",730,730,729,731,731,728,727,727,725,724,"1,000",720,719,716,716,716,716,716,716,716,716,"1,000",715,715,715,715,715,774,795,830,870,870
Walnut Grove,500,353,353,353,353,352,355,355,359,359,359,500,362,362,360,360,360,360,360,360,368,370,500,370,370,370,370,377,377,376,382,382,382
Wilkinson County,900,876,876,876,876,875,882,882,882,882,881,900,881,880,876,876,876,876,876,876,876,873,900,871,869,869,869,869,869,868,868,874,873
RESITITUTION CENTERS,24,18,18,18,18,18,17,17,15,15,15,24,17,17,16,16,14,14,14,16,16,16,24,16,17,17,17,17,17,17,17,17,17
Greenwood,6,6,6,6,6,6,6,6,4,4,4,6,5,5,5,5,4,4,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5
Hinds,12,11,11,11,11,11,10,10,11,11,11,12,11,11,10,10,9,9,9,10,10,10,12,10,11,11,11,11,11,11,11,11,11
Pascagoula,6,1,1,1,1,1,1,1,0,0,0,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"20,766","18,168","18,163","18,159","18,248","18,246","18,224","18,219","18,210","18,204","18,200","20,766","18,258","18,273","18,230","18,245","18,226","18,222","18,223","18,275","18,268","18,295","20,766","18,313","18,273","18,271","18,264","18,285","18,282","18,270","18,299","18,095","18,294"
