Location,Capacity_x_x,1-Dec-07,2-Dec-07,3-Dec-07,4-Dec-07,5-Dec-07,6-Dec-07,7-Dec-07,8-Dec-07,9-Dec-07,Capacity_y_x,10-Dec-07,11-Dec-07,12-Dec-07,13-Dec-07,14-Dec-07,15-Dec-07,16-Dec-07,17-Dec-07,18-Dec-07,Capacity_x_y,19-Dec-07,20-Dec-07,21-Dec-07,22-Dec-07,23-Dec-07,24-Dec-07,25-Dec-07,26-Dec-07,27-Dec-07,Capacity_y_y,28-Dec-07,29-Dec-07,30-Dec-07,31-Dec-07,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,527","4,293","4,293","4,297","4,278","4,291","4,293","4,307","4,307","4,307","4,527","4,310","4,304","4,328","4,346","4,351","4,349","4,346","4,335","4,332","4,527","4,350","4,352","4,352","4,345","4,344","4,340","4,337","4,340","4,339","4,527","4,344","4,342","4,343","4,340",,"4,327"
Central Mississippi Correctional Facility,"3,515","3,498","3,497","3,504","3,535","3,529","3,543","3,524","3,523","3,526","3,515","3,520","3,553","3,543","3,544","3,536","3,532","3,529","3,543","3,533","3,515","3,501","3,512","3,454","3,451","3,449","3,444","3,444","3,470","3,490","3,515","3,487","3,484","3,491","3,493",,"3,506"
South Mississippi Correctional Institution,"3,164","3,048","3,046","3,035","3,046","3,057","3,041","3,036","3,035","3,034","3,164","3,043","3,037","3,051","3,070","3,062","3,056","3,057","3,067","3,070","3,164","3,094","3,076","3,086","3,083","3,082","3,077","3,077","3,082","3,073","3,164","3,072","3,074","3,073","3,072",,"3,062"
County Jails,"1,589","1,778","1,778","1,786","1,756","1,746","1,763","1,783","1,783","1,783","1,589","1,819","1,812","1,800","1,804","1,811","1,811","1,811","1,791","1,775","1,589","1,798","1,769","1,794","1,794","1,794","1,795","1,795","1,768","1,767","1,589","1,752","1,752","1,752","1,754",,"1,783"
COMMUNITY WORK CENTERS,"1,848","1,816","1,813","1,818","1,814","1,816","1,825","1,819","1,813","1,813","1,848","1,804","1,805","1,800","1,787","1,809","1,807","1,806","1,801","1,822","1,848","1,823","1,829","1,827","1,824","1,822","1,819","1,816","1,813","1,827","1,848","1,824","1,820","1,805","1,801",,"1,814"
Alcorn Satellite Facility,92,92,92,92,92,92,92,92,92,92,92,91,91,87,87,92,92,92,91,92,92,92,92,92,92,92,92,91,91,91,92,90,90,89,89,,91
Bolivar Satellite Facility,102,102,102,102,102,102,102,102,102,102,102,100,95,96,96,102,102,102,102,102,102,102,102,100,100,100,100,100,100,102,102,102,102,102,102,,101
Forrest Satellite Facility,96,96,96,95,93,96,95,94,94,94,96,94,91,92,92,92,92,92,96,95,96,95,93,93,92,92,92,91,92,95,96,96,96,95,95,,94
George Satellite Facility,102,100,100,100,99,101,102,102,102,102,102,102,101,100,100,101,101,100,99,102,102,99,102,102,102,102,102,102,102,102,102,102,101,101,101,,101
Harrison Satellite Facility,102,100,100,99,99,101,102,99,98,99,102,99,99,96,96,102,101,101,101,102,102,101,101,100,100,100,100,100,98,102,102,102,102,102,101,,100
Jackson Satellite Facility,102,101,101,101,100,101,101,101,101,101,102,100,101,100,100,100,100,100,99,100,102,99,101,101,101,101,101,101,101,101,102,101,101,101,101,,101
Jefferson Satellite Facility,102,98,98,100,100,99,99,99,98,98,102,98,98,96,96,102,102,102,102,102,102,101,101,101,101,101,101,101,98,98,102,98,98,98,98,,99
Leflore Satellite Facility,102,101,101,101,101,100,100,100,100,100,102,100,100,100,96,98,98,98,98,102,102,102,102,102,102,102,102,102,102,102,102,102,101,101,101,,101
Madison Satellite Facility,102,101,101,101,99,95,101,101,101,101,102,100,99,102,101,101,101,101,97,96,102,102,102,102,102,102,102,102,102,101,102,102,101,94,94,,100
Noxubee Satellite Facility,92,91,90,90,90,91,91,91,91,91,92,91,91,90,90,92,92,92,92,91,92,91,92,91,91,91,90,90,90,89,92,88,88,88,88,,90
Pike Satellite Facility,93,92,90,92,92,92,92,92,92,91,93,91,91,92,91,88,87,87,86,86,93,87,87,89,89,89,89,89,89,91,93,92,92,91,90,,90
Quitman Satellite Facility,93,93,92,92,92,92,92,92,92,92,93,92,92,92,92,92,92,92,91,91,93,91,91,91,91,91,91,91,91,91,93,92,92,91,89,,92
Rankin Satellite Facility,260,252,253,253,252,254,255,255,253,253,260,250,254,254,252,252,252,252,252,255,260,255,255,255,255,254,253,253,255,255,260,252,252,252,252,,253
Simpson Satellite Facility,102,100,100,102,102,102,102,102,101,101,102,100,99,102,101,100,100,100,100,102,102,102,102,102,102,102,102,102,102,102,102,102,102,98,98,,101
Washington Satellite Facility,102,98,98,98,98,98,102,102,102,102,102,102,101,100,100,99,99,99,99,102,102,102,102,102,101,101,100,99,98,101,102,99,98,98,98,,100
Wilkinson Satellite Facility,102,101,101,101,101,100,99,99,99,99,102,99,101,101,101,100,100,100,100,100,102,100,102,102,101,100,100,100,100,102,102,102,102,102,102,,101
Yazoo Satellite Facility,102,98,98,99,102,100,98,96,95,95,102,95,101,100,96,96,96,96,96,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,100
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,079","3,079","3,080","3,086","3,081","3,082","3,084","3,082","3,081","3,088","3,079","3,082","3,077","3,080","3,083","3,080","3,080","3,080","3,082","3,088","3,067","3,075","3,082","3,079","3,078","3,076","3,074","3,073","3,075","3,088","3,083","3,081","3,081","3,079",,"3,079"
Bolivar County,294,291,291,292,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,293,294,293,294,294,294,294,294,294,291,291,294,294,294,294,294,,293
Carroll County,280,280,280,280,280,280,280,279,278,278,280,277,279,279,278,278,277,277,280,282,280,280,280,280,280,280,280,280,279,278,280,277,277,277,277,,279
George County,280,279,279,279,277,278,279,278,278,278,280,278,279,280,280,280,279,279,279,280,280,279,279,279,279,279,279,279,279,280,280,280,280,280,280,,279
Holmes County,280,280,280,279,279,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,,280
Issaquena County,274,273,273,274,276,275,274,273,273,273,274,273,273,270,274,273,272,272,271,272,274,265,271,272,272,272,272,272,272,272,274,274,274,274,274,,273
Jefferson County,280,280,280,281,281,278,278,280,280,280,280,279,279,276,276,279,279,279,279,280,280,281,281,280,280,280,280,280,280,279,280,279,279,279,279,,279
Kemper County,280,280,280,279,280,279,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280,280,280,,280
Leake County,280,279,279,278,280,279,279,280,280,280,280,280,279,279,280,280,280,280,279,279,280,280,280,280,279,279,279,279,280,280,280,280,279,279,279,,279
Marion County,280,278,278,279,280,279,279,280,279,278,280,279,279,280,280,280,280,280,279,278,280,275,276,277,277,277,276,276,276,280,280,280,280,280,280,,279
Stone County,280,279,279,279,279,279,279,280,280,280,280,280,280,280,279,279,279,279,279,278,280,276,276,280,279,278,278,278,278,275,280,280,280,280,279,,279
Winston County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,278,280,279,279,278,277,278,280,280,280,279,279,278,,279
PRIVATE PRISONS,"4,972","4,803","4,801","4,804","4,797","4,799","4,797","4,801","4,800","4,800","4,972","4,796","4,794","4,790","4,791","4,796","4,794","4,792","4,794","4,792","4,972","4,789","4,786","4,796","4,792","4,789","4,788","4,787","4,788","4,793","4,972","4,797","4,794","4,790","4,789",,"4,794"
Delta,972,973,972,972,970,968,970,971,970,970,972,971,971,971,972,972,971,971,969,967,972,967,970,968,967,967,967,966,968,971,972,972,972,972,972,,970
East Mississippi,"1,000",887,887,887,886,885,883,882,882,882,"1,000",875,874,876,875,874,874,874,874,878,"1,000",877,879,879,879,879,879,879,879,878,"1,000",878,877,876,876,,879
Marshall County,"1,000",998,998,999,999,998,999,999,999,999,"1,000","1,000","1,000",998,999,998,998,998,"1,000",999,"1,000",999,998,"1,000","1,000",999,998,998,"1,000",998,"1,000","1,000",999,997,997,,999
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",949,949,950,948,955,951,954,954,954,"1,000",952,952,950,949,956,955,953,956,949,"1,000",953,946,954,954,954,954,954,954,952,"1,000",950,949,949,948,,952
Wilkinson County,"1,000",996,995,996,994,993,994,995,995,995,"1,000",998,997,995,996,996,996,996,995,999,"1,000",993,993,995,992,990,990,990,987,994,"1,000",997,997,996,996,,995
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,11,11,11,11,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,,12
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,3,3,3,3,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
E-CODE,0,11,11,12,8,11,11,9,10,7,0,8,7,8,10,7,8,7,7,8,0,9,5,4,4,4,4,3,4,8,0,6,4,5,5,,7
TOTALS,"22,725","22,343","22,335","22,353","22,337","22,347","22,372","22,380","22,370","22,368","22,725","22,396","22,411","22,414","22,449","22,471","22,453","22,444","22,434","22,431","22,725","22,448","22,421","22,412","22,389","22,379","22,360","22,350","22,355","22,389","22,725","22,382","22,368","22,357","22,350",,"22,389"
