Location,Capacity_x_x,1-Apr-10,2-Apr-10,3-Apr-10,4-Apr-10,5-Apr-10,6-Apr-10,7-Apr-10,8-Apr-10,9-Apr-10,Capacity_y_x,10-Apr-10,11-Apr-10,12-Apr-10,13-Apr-10,14-Apr-10,15-Apr-10,16-Apr-10,17-Apr-10,18-Apr-10,Capacity_x_y,19-Apr-10,20-Apr-10,21-Apr-10,22-Apr-10,23-Apr-10,24-Apr-10,25-Apr-10,26-Apr-10,27-Apr-10,Capacity_y_y,28-Apr-10,29-Apr-10,30-Apr-10,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,435","3,777","3,772","3,770","3,770","3,778","3,754","3,756","3,760","3,738","4,435","3,738","3,738","3,744","3,746","3,757","3,745","3,739","3,738","3,736","4,435","3,711","3,679","3,680","3,681","3,672","3,669","3,667","3,662","3,633","4,435","3,644","3,639","3,636",,"3,718"
Central Mississippi Correctional Facility,"3,449","3,267","3,240","3,241","3,241","3,249","3,277","3,308","3,324","3,306","3,449","3,303","3,305","3,297","3,290","3,289","3,295","3,306","3,311","3,311","3,449","3,308","3,327","3,327","3,322","3,328","3,324","3,319","3,313","3,299","3,449","3,264","3,260","3,263",,"3,294"
South Mississippi Correctional Institution,"3,204","3,119","3,098","3,098","3,096","3,082","3,112","3,113","3,106","3,101","3,204","3,100","3,099","3,102","3,105","3,110","3,098","3,098","3,098","3,098","3,204","3,109","3,117","3,120","3,109","3,103","3,102","3,101","3,100","3,104","3,204","3,113","3,110","3,120",,"3,105"
County Jails,"1,450","1,502","1,507","1,507","1,507","1,515","1,483","1,455","1,449","1,439","1,450","1,441","1,441","1,458","1,461","1,459","1,461","1,458","1,458","1,458","1,450","1,446","1,476","1,483","1,514","1,536","1,536","1,536","1,537","1,568","1,450","1,598","1,644","1,637",,"1,499"
COMMUNITY WORK CENTERS,"1,848","1,691","1,687","1,687","1,686","1,688","1,683","1,692","1,673","1,659","1,848","1,657","1,657","1,662","1,657","1,650","1,648","1,620","1,617","1,616","1,848","1,636","1,632","1,645","1,604","1,593","1,589","1,588","1,593","1,591","1,848","1,597","1,603","1,598",,"1,640"
Alcorn Satellite Facility,92,80,79,79,79,79,79,79,77,73,92,73,73,74,74,74,73,72,72,71,92,72,73,73,72,72,71,71,71,71,92,70,70,63,,74
Bolivar Satellite Facility,102,94,94,94,94,94,94,94,91,89,102,89,89,91,91,91,92,91,91,91,102,92,92,92,88,90,90,90,90,90,102,89,88,93,,91
Forrest Satellite Facility,96,85,83,83,83,85,84,84,82,80,96,80,80,81,81,81,81,80,80,80,96,80,80,80,79,78,78,78,78,75,96,75,75,76,,80
George Satellite Facility,102,100,95,95,94,95,95,96,96,95,102,95,95,95,95,95,92,89,88,88,102,91,91,92,92,92,91,92,91,91,102,91,91,90,,93
Harrison Satellite Facility,102,91,91,91,91,91,91,90,88,88,102,88,88,88,88,86,86,84,84,84,102,83,81,81,80,75,74,74,77,84,102,83,83,83,,85
