Location,Capacity_x,1-Sep-02,2-Sep-02,3-Sep-02,4-Sep-02,5-Sep-02,6-Sep-02,7-Sep-02,8-Sep-02,9-Sep-02,10-Sep-02,Capacity_y,11-Sep-02,12-Sep-02,13-Sep-02,14-Sep-02,15-Sep-02,16-Sep-02,17-Sep-02,18-Sep-02,19-Sep-02,20-Sep-02,Capacity,21-Sep-02,22-Sep-02,23-Sep-02,24-Sep-02,25-Sep-02,26-Sep-02,27-Sep-02,28-Sep-02,29-Sep-02,30-Sep-02
MS STATE PENITENTIARY,"5,551","5,094","5,091","5,111","5,095","5,127","5,132","5,130","5,126","5,177","5,233","5,551","5,241","5,201","5,235","5,235","5,246","5,230","5,284","5,277","5,277","5,291","5,551","5,289","5,287","5,285","5,347","5,338","5,351","5,345","5,345","5,341","5,318"
CENTRAL MS CORRECTIONAL FACILITY,"3,099","2,930","2,931","2,929","2,923","2,901","2,864","2,865","2,866","2,858","2,837","3,099","2,817","2,829","2,848","2,848","2,847","2,842","2,875","2,872","2,895","2,904","3,099","2,906","2,905","2,918","2,927","2,949","2,955","2,974","2,975","2,975","2,967"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,006","2,006","1,999","2,000","1,992","2,015","2,015","2,014","1,999","1,998","2,214","2,020","2,027","2,022","2,022","2,021","2,041","2,026","2,076","2,071","2,066","2,214","2,066","2,065","2,064","2,046","2,040","2,034","2,040","2,038","2,038","2,033"
COUNTY JAILS,"2,113","1,938","1,940","1,921","1,951","1,941","1,954","1,954","1,954","1,973","2,009","2,113","2,030","2,009","1,988","1,988","1,988","1,973","1,953","1,929","1,898","1,880","2,113","1,880","1,880","1,860","1,860","1,849","1,853","1,845","1,845","1,845","1,879"
COMMUNITY WORK CENTERS,"1,350","1,299","1,299","1,287","1,290","1,289","1,248","1,247","1,247","1,301","1,303","1,350","1,296","1,299","1,258","1,258","1,256","1,294","1,304","1,301","1,308","1,258","1,350","1,254","1,252","1,295","1,294","1,291","1,302","1,277","1,278","1,278","1,303"
Alcorn Satellite Facility,75,75,75,74,74,74,71,71,71,73,74,75,74,73,68,68,68,73,73,73,73,66,75,66,66,72,71,69,69,63,63,63,71
Bolivar Satellite Facility,75,71,71,70,70,69,62,62,62,73,73,75,72,72,71,71,71,72,73,73,71,69,75,68,68,70,70,70,69,67,67,67,72
Forrest Satellite Facility,75,75,75,74,74,74,72,72,72,73,75,75,74,74,67,67,67,75,75,75,74,73,75,73,73,74,75,75,75,73,73,73,75
George Satellite Facility,75,75,75,73,75,75,75,75,75,74,74,75,73,72,71,71,70,67,73,72,72,70,75,70,70,73,74,74,74,70,70,70,74
Harrison Satellite Facility,75,74,74,73,72,71,70,70,70,74,73,75,72,72,71,71,71,72,74,74,74,68,75,68,68,74,73,73,73,72,72,72,71
Jackson Satellite Facility,75,74,74,73,72,75,75,75,75,74,75,75,74,74,72,72,72,74,74,74,74,68,75,68,68,73,75,75,75,71,71,71,75
Jefferson Satellite Facility,75,75,75,75,75,75,75,75,74,73,73,75,72,73,71,71,71,75,75,75,75,72,75,72,72,75,75,75,75,72,72,72,75
Leflore Satellite Facility,75,70,70,71,73,73,71,71,71,72,72,75,73,71,71,71,71,71,74,74,74,69,75,69,69,74,73,73,73,69,69,69,67
Madison Satellite Facility,75,75,75,75,75,75,74,74,74,75,74,75,75,75,73,73,73,75,75,75,75,74,75,74,74,75,75,75,74,75,75,75,75
Noxubee Satellite Facility,75,72,72,73,71,71,66,66,66,71,70,75,70,70,65,65,65,68,68,67,73,69,75,69,69,72,72,72,72,72,72,72,72
Pike Satellite Facility,75,70,70,68,69,69,69,69,69,73,73,75,75,75,74,74,74,74,73,73,73,72,75,72,72,71,71,70,70,69,69,69,69
Quitman Satellite Facility,75,62,62,62,61,60,60,60,60,70,71,75,73,74,75,75,74,73,72,71,71,67,75,67,66,70,70,70,70,70,70,70,70
Rankin Satellite Facility,150,139,139,137,136,136,130,130,130,135,135,150,134,133,132,132,132,137,137,137,141,140,150,138,137,140,140,140,140,139,139,139,140
Simpson Satellite Facility,75,70,70,67,71,70,66,66,66,69,69,75,68,72,65,65,65,71,70,70,70,68,75,68,68,69,68,68,74,73,74,74,74
