Location,Capacity_x_x,1-Sep-11,2-Sep-11,3-Sep-11,4-Sep-11,5-Sep-11,6-Sep-11,7-Sep-11,8-Sep-11,9-Sep-11,Capacity_y_x,10-Sep-11,11-Sep-11,12-Sep-11,13-Sep-11,14-Sep-11,15-Sep-11,16-Sep-11,17-Sep-11,18-Sep-11,Capacity_x_y,19-Sep-11,20-Sep-11,21-Sep-11,22-Sep-11,23-Sep-11,24-Sep-11,25-Sep-11,26-Sep-11,27-Sep-11,Capacity_y_y,28-Sep-11,29-Sep-11,30-Sep-11,Avg Population
Mississippi State Penitentiary,"3,356","3,094","3,086","3,084","3,083","3,083","3,082","3,069","3,056","3,050","3,356","3,047","3,048","3,055","3,051","3,050","3,044","3,040","3,039","3,039","3,356","3,047","3,052","3,062","3,064","3,081","3,078","3,076","3,068","3,062","3,356","3,068","3,061","3,067","3,168"
Central Mississippi Correctional Facility,"3,449","3,183","3,182","3,181","3,181","3,184","3,186","3,182","3,172","3,159","3,449","3,157","3,154","3,183","3,195","3,185","3,191","3,185","3,184","3,182","3,449","3,159","3,168","3,077","3,091","3,108","3,106","3,104","3,126","3,071","3,449","3,072","3,068","3,051","3,256"
South Mississippi Correctional Institution,"3,256","3,154","3,143","3,142","3,142","3,141","3,163","3,175","3,179","3,181","3,256","3,180","3,180","3,185","3,194","3,195","3,184","3,188","3,185","3,189","3,256","3,195","3,194","3,196","3,205","3,207","3,204","3,204","3,200","3,203","3,256","3,185","3,196","3,201","3,293"
County Jails,"1,616","1,885","1,878","1,878","1,878","1,876","1,857","1,850","1,848","1,846","1,616","1,846","1,846","1,845","1,856","1,878","1,895","1,916","1,916","1,916","1,616","1,914","1,927","1,902","1,923","1,922","1,922","1,922","1,919","1,920","1,616","1,920","1,929","1,939","1,958"
COMMUNITY WORK CENTERS,"1,848","1,557","1,559","1,555","1,553","1,550","1,541","1,548","1,533","1,493","1,848","1,492","1,490","1,521","1,516","1,526","1,534","1,525","1,523","1,518","1,848","1,559","1,551","1,531","1,527","1,489","1,487","1,487","1,506","1,503","1,848","1,510","1,526","1,505","1,576"
Alcorn Satellite Facility,92,85,85,85,85,84,84,84,84,79,92,79,79,84,85,85,83,81,81,81,92,84,84,83,83,80,80,79,85,85,92,85,85,82,86
Bolivar Satellite Facility,102,87,85,85,85,85,85,85,86,81,102,81,81,85,85,84,84,85,85,85,102,86,87,82,82,81,81,81,82,81,102,80,83,82,86
Forrest Satellite Facility,96,84,84,83,83,83,83,83,81,80,96,80,80,82,82,82,85,84,83,79,96,82,80,77,80,80,80,80,80,80,96,82,82,83,84
George Satellite Facility,102,89,89,89,89,89,88,88,88,85,102,85,85,87,87,87,87,83,83,83,102,85,83,87,87,87,86,87,85,86,102,86,86,86,89
Harrison Satellite Facility,102,90,91,90,90,90,90,90,88,89,102,89,88,93,92,91,92,91,91,91,102,91,91,89,88,86,86,86,87,85,102,88,87,85,92
Jackson Satellite Facility,102,90,90,90,90,90,90,89,86,82,102,82,82,82,82,85,92,90,90,90,102,90,89,90,90,87,87,87,89,90,102,90,91,89,91
Jefferson Satellite Facility,102,79,78,78,78,78,77,77,76,76,102,76,75,74,74,74,74,75,75,75,102,77,77,75,77,75,75,75,75,75,102,73,73,77,78
Leflore Satellite Facility,102,79,81,81,81,81,80,87,90,84,102,83,83,91,88,88,88,90,90,90,102,92,90,89,88,85,85,85,86,86,102,86,92,90,89
Madison Satellite Facility,102,91,91,91,91,91,89,89,89,84,102,84,84,88,88,91,88,90,90,90,102,94,93,93,90,87,87,87,88,87,102,92,92,91,92
Noxubee Satellite Facility,92,81,81,81,81,81,80,80,79,79,92,79,79,78,78,79,79,76,76,76,92,79,79,77,79,77,77,77,78,77,92,77,79,73,81
Pike Satellite Facility,93,69,73,73,73,72,71,71,62,61,93,61,61,61,59,59,58,57,57,57,93,70,67,67,59,59,59,59,58,58,93,57,57,55,65
Quitman Satellite Facility,93,79,80,80,80,80,79,80,79,77,93,77,76,77,81,81,82,81,81,81,93,81,82,80,79,75,75,75,75,75,93,75,75,74,81
Rankin Satellite Facility,260,202,200,199,199,199,199,199,197,192,260,192,193,198,195,198,198,193,193,192,260,195,195,188,189,183,183,183,188,188,260,188,188,190,200
Simpson Satellite Facility,102,93,92,92,90,90,87,87,90,92,102,92,92,87,87,90,92,88,88,88,102,89,89,89,93,88,87,87,87,87,102,90,89,88,92
Washington Satellite Facility,102,84,85,85,85,85,85,86,84,83,102,83,83,84,83,83,83,91,91,91,102,90,92,92,92,92,92,92,92,92,102,92,92,87,91
Wilkinson Satellite Facility,102,88,88,88,88,88,88,88,87,86,102,86,86,86,86,86,86,87,87,87,102,87,87,87,87,85,85,85,87,87,102,87,87,87,90
Yazoo Satellite Facility,102,87,86,85,85,84,86,85,87,83,102,83,83,84,84,83,83,83,82,82,102,87,86,86,84,82,82,82,84,84,102,82,88,86,87
REGIONAL CORRECTIONAL FACILITIES,"4,363","3,281","3,284","3,282","3,278","3,277","3,275","3,275","3,272","3,276","4,363","3,276","3,275","3,271","3,279","3,278","3,278","3,273","3,272","3,271","4,363","3,264","3,278","3,364","3,366","3,361","3,357","3,354","3,364","3,442","4,363","3,449","3,446","3,449","3,430"
Alcorn County,300,250,249,248,247,247,246,249,248,247,300,247,247,246,249,249,248,247,247,247,300,247,250,251,251,250,250,250,250,249,300,247,247,249,257
Bolivar County,294,234,235,235,235,235,235,233,234,235,294,235,235,234,235,235,235,235,235,235,294,234,234,234,235,234,234,234,234,235,294,235,234,233,243
Carroll County,280,224,224,224,224,223,223,223,224,224,280,224,224,224,224,224,224,223,223,223,280,223,224,223,224,224,224,224,224,224,280,224,224,224,231
Chickasaw County,300,251,250,250,250,250,250,248,249,249,300,249,248,248,249,249,249,247,247,247,300,247,249,249,249,247,247,247,249,249,300,249,250,250,257
George County,280,224,225,225,225,225,224,224,224,224,280,224,224,223,224,224,223,224,224,224,280,224,223,222,222,222,222,222,224,224,280,224,224,224,231
Holmes County,280,224,224,224,223,223,224,224,224,224,280,224,224,224,224,224,224,224,224,224,280,223,224,224,224,224,224,224,224,224,280,225,224,224,232
Issaquena County,274,219,219,219,219,219,220,220,218,219,274,219,219,219,219,219,219,219,219,219,274,219,219,220,220,221,220,220,220,220,274,221,221,220,227
Jefferson County,280,224,225,225,225,225,225,225,225,225,280,225,225,224,224,224,224,224,224,224,280,223,224,224,224,224,224,224,224,224,280,224,224,224,232
Kemper County,355,284,284,284,284,284,284,284,284,284,355,284,284,284,284,284,284,284,284,284,355,284,284,284,283,281,281,281,286,285,355,285,285,286,294
